paragraph,Index
BERT <REF> is one of a series of pre-trained neural models that can be fine tuned to provide state-of-theart results in NLP  including on the SQuAD  and NQ  tasks that align with our MRC based QA.,0
"Question <REF> Candidate Paragraph BERT : BERT for QA  Base (a 12 layer, 768 hidden dimension, 12 attention head, 110M parameter transformer network) or a Large (a 24 layer, 1024 hidden dimension, 16 attention head, 340M parameter transformer network) model.",1
DecAtt + Doc Reader <REF> 31.4 BERT  50.2 BERT w/ SQuAD 1.1   on these data sets).,2
"Specifically, we use SQuAD 1.1 <REF>.",3
"Specifically, we use SQuAD 1.1 <REF>.",4
"In recent years, deep pre-training approaches <REF> have brought great break-through in NLP tasks.",5
"In recent years, transfer learning has achieved amazing performance on many NLP tasks <REF>.",6
MKDM is implemented from BERT <REF>.,7
"In recent work, <REF> show that pretrained modules together with handcrafted subpolicies help in solving text-based games, while Yin and May (2019) use BERT  to inject 'weak common sense' into agents for text-based games.",8
"Inspired by the superiority of Transformer <REF> on many text generation tasks , we propose a Transformer-based autoencoder with low reconstruction bias to learn the latent representation of source text.",9
The autoregressive loss belongs to a large family of selfsupervised loss functions <REF>.,10
<REF> study the self-attention of a Transformer encoder for NMT and observe that some heads mark syntactic dependency relations.,11
<REF> study the self-attention of a Transformer encoder for NMT and observe that some heads mark syntactic dependency relations.,12
"Recently, several pre-trained transformers such as GPT <REF> and BERT  have been released.",13
"Model Architectures of BERT, GPT and ELMo Quoted from <REF> BERT As shown in , both ELMo and GPT models only use unidirectional language models to learn the representation of tokens.",14
"Model Architectures of BERT, GPT and ELMo Quoted from <REF> BERT As shown in , both ELMo and GPT models only use unidirectional language models to learn the representation of tokens.",15
"Specifically, we focus on a new reading comprehension dataset called DROP <REF>, which requires Discrete Reasoning Over the content of Paragraphs to obtain the final answer.",16
MTMSN utilizes a series of pre-trained Transformer blocks <REF> to obtain a deep bidirectional context representation.,17
<REF> gives an overview of our model that aims to combine neural reading comprehension with numerical reasoning.,18
"To obtain a universal representation for both the question and the passage, we utilize BERT <REF>, a pre-trained deep bidirectional Transformer model that achieves state-of-the-art performance across various tasks, as the encoder.",19
"Specifically, we first tokenize the question and  <REF>: An illustration of MTMSN architecture.",20
"Motivated by the desire to address the limitations of supervised parsing and by the success of large-scale unsupervised modeling such as ELMo and BERT <REF> Equal contribution, randomly ordered.",21
"The model is then trained with the objective that the outside representations of the leaf cells should reconstruct the corresponding leaf input word, analogous to masked language model <REF> pretraining, except by using dynamic programming we predict every word from a completely unmasked context.",22
We use EternalFeather project to train a CBow word embedding provided by <REF> with 300 dimensions on the processed wiki text.,23
"Pre-trained sentence encoders such as ELMo <REF> and BERT  have rapidly improved the state of the art on many NLP tasks, and seem poised to displace both static word embeddings  and discrete pipelines  as the basis for natural language processing systems.",24
"We build on this latter line of work, focusing on the BERT model <REF>, and use a suite of probing tasks  derived from the traditional NLP pipeline to quantify where specific types of linguistic information are encoded.",25
"The BERT model <REF> has shown state-of-the-art performance on many tasks, and its deep Transformer architecture  is typical of many recent models (e.g.",26
"For our models, we used a TFIDF <REF>, a 2-layer LSTM , and the state-of-the-art BERT model .",27
"This approach can also be applied in order to train a model dedicated to a new slot filling task from an already pre-trained model (here ASR • N ER), in the same spirit as the BERT model for textual language understanding <REF>.",28
"Similarly, <REF> present pretrained cross-lingual models (XLM), based on modern pretraining mechanisms; specifically, a variant of the masked LM pretraining scheme used in BERT .",29
"Work on evaluating sentence representations was encouraged by the release of the SentEval toolkit <REF>, which provided an easy-to-use framework that sentence representations could be 'plugged' into, for rapid downstream evaluation on numerous tasks: these include several classification tasks, textual entailment and similarity tasks, a paraphrase detection task, and caption/image retrieval tasks.",30
"In NLP, pre-trained models, such as ELMo <REF>, GPT , BERT  and XLNet , have achieved state-of-the-art performances in many NLP tasks as well, such as sentiment analysis , natural language inference , and machine reading comprehension .",31
"Latest pre-trained NLP models are based on multi-layer Transformer, such as GPT <REF>, BERT  and XLNet , and trained using large-scale corpus by language modeling.",32
BERT <REF>) is a pre-trained model based on multi-layer Transformer .,33
We omit the details and encourage to refer the original paper <REF>.,34
One example of the data set is described in <REF>.,35
One example of the data set is described in <REF>.,36
"Recently, <REF> propose a self-attention mechanism that enables to capture long-term dependency and to compute in parallel.",37
"Pre-trained langauge models, such as ELMo <REF>, OpenAI GPT , and BERT , have been broadly applied in a variety of NLP tasks (e.g., sentiment analysis, machine reading comprehension, and textual entailment) and have achieved a great success.",38
"For more details, the dialogue-level tokens are input to the post training language model, which takes into account not only their dialogue emotion, thus modeling the dependency among both, labels and utterances, an important consideration of natural dialogue <REF>.",39
"To reproduce the datapoor setting that our annotators must learn in, we also train the BERT model <REF> in limited-data regimes, and conclude that low-resource sentence classification remains a challenge for modern neural network approaches to text understanding.",40
This past year has seen tremendous progress in building general purpose models that can learn good language representations across a range of tasks and domains <REF>.,41
This past year has seen tremendous progress in building general purpose models that can learn good language representations across a range of tasks and domains <REF>.,42
"Pretrained Language Models (LM) like ULMfit <REF>, ELMo , OpenAI GPT  and BERT , proposed different neural language model architectures and made their pre-trained weights available to ease the application of transfer learning to downstream tasks, where they have pushed the state-of-the-art for several benchmarks including question answering on SQuAD, NLI, cross-lingual NLI and named identity recognition (NER).",43
"Among different approaches to contextualized word embeddings (mentioned in section 2), we choose ELMo <REF> as contextualized word embedding approach.",44
"In recent years, pre-trained word and sentence representations achieved very competitive performance in many NLP tasks, e.g., fine-tuned word embeddings using distant training (Cliche, 2017) and tweet sentence representations DeepMoji <REF> on sentiment analysis, and contextualized word representations BERT  on 11 NLP tasks.",45
There is a research trend on word and sentence embeddings after the invention of Word2Vec <REF>.,46
We adopt BERT (Bidirectional Encoder Representation from Transformers <REF>) as our base model since its variants achieve dominant performance on MRC  and CRC  tasks.,47
"In this section, we briefly review BERT (Bidirectional Encoder Representation from Transformers <REF>), which is one of the key innovations of unsupervised contextualized representation learning .",48
"In this section, we briefly review BERT (Bidirectional Encoder Representation from Transformers <REF>), which is one of the key innovations of unsupervised contextualized representation learning .",49
"As such building, a representation from medical text using handengineered features is a challenge <REF>.",50
"In recent years, there has been an increase in the number of annotated RC datasets such as SQuAD <REF>, NewsQA , TriviaQA  and RACE 8 Early testing of our model was actually done on SQuAD.",51
The paucity of data for both emotion recognition and empathetic response generation <REF>.,52
"Detecting sentiment and emotion <REF>    proposed a new benchmark for empathetic dialogue generation, which is grounded in a situation prompted by specific emotion labels.",53
Using pre-trained language models for contextual word representations has been shown to improve many Natural Language Processing (NLP) tasks <REF>.,54
Using pre-trained language models for contextual word representations has been shown to improve many Natural Language Processing (NLP) tasks <REF>.,55
We use GloVe word representations <REF> and compare the performance improvement that we obtain with pre-trained BERT representations .,56
Gains on additional tasks were reported by <REF> and later by other researchers.,57
Gains on additional tasks were reported by <REF> and later by other researchers.,58
a large pre-trained language model such as BERT <REF>) to pick the final response.,59
"Inspired by <REF> which capture the global dependencies between input and output by aggregating information from the elements of the input, we build a relation attention module which consists of the transformer unit proposed in .",60
"Inspired by <REF> which capture the global dependencies between input and output by aggregating information from the elements of the input, we build a relation attention module which consists of the transformer unit proposed in .",61
"F unc is a non-linear function, which can be referred to <REF> for detail.",62
Fine-Tuning BERT This is another extractive RC model that benefits from the recent advance in pretrained general language encoders <REF>.,63
Fine-Tuning BERT This is another extractive RC model that benefits from the recent advance in pretrained general language encoders <REF>.,64
"The second type is commonsense, which is consistent with the good performance of BERT <REF> on SWAG .",65
Our position embedding is inspired by word position embedding in neural language processing (NLP) which distinguishes different semantics of one word in different positions of a sentence <REF>.,66
"Here, we follow the fusing approach in BERT <REF>.",67
"Questions were written by crowdworkers, who try to bridge between two concepts extracted from CONCEPTNET <REF>      summarizes the size and number of annotators who worked on each dataset.",68
"To this end, we follow the standard way of feeding input to BERT <REF> and concatenate the annotator ID as an additional feature to every example in every dataset.",69
"Initially, relatively simple vector space models <REF> were used and can represent some important word and document relations .",70
"One of the latest improvements in semi-supervised pre-training is BERT 3 <REF>, which can be downloaded in pre-trained form.",71
"For example, vector space embeddings can be learned in the form of latent representations of autoencoders as illustrated in <REF>, and in this context methods and concepts that are successfully used for NLP can be reused and further developed.",72
Pre-trained LM To take advantage of the recent success in pre-trained language models <REF> we also make use of ELMo contextualized embeddings instead of the embedding matrix and the character LSTM concatentation.,73
"In modern search systems, the above target could be achieved by deploying a Web question answering (QA) component <REF> upon the retrieval module: Given a search query and a set of topranked passages, the Web QA component determines whether the candidate set contains any direct answer and extracts the answer as the output if it exists.",74
"In this work, we introduce risk-related metrics following the idea in <REF>, including coverage, risk and AURC, for risk-aware Web QA evaluation.",75
Here we take two representative deep MRC models BIDAF <REF> and BERT  as the basic MRC model in our framework.,76
ENS <REF> trains multiple models from different initialization to estimate the predictive uncertainty of deep models on the image classification task.,77
which is the same as the empirical selective risk defined in Equation <REF>.,78
Extreme summarization revisits interesting problems in abstractive summarization with the relatively simpler objective of generating single sentence summaries rather than multiline summaries <REF>.,79
"This bottleneck can be addressed by implementing a more sophisticated natural language recognition system, for instance, BERT <REF>.",80
Word embeddings models like skip-gram <REF> and contextual embedding models like BERT  have proved the crucial role of good text representations in NLP tasks.,81
"Recently contextual text representation models like ELMo <REF>, BERT  and OpenAI GPT  have pushed the state-of-the-art results of various NLP tasks.",82
"ImageNet Large Scale Visual Recognition Challenge (ILSVRC), which collects more than 1.2 million varied images, has inspired the development of a series of deep learning models <REF>.The last hidden layer signals of deep models are widely used as image feature embeddings for transfer learning ; the upper-layers of deep models can also be fine-tuned for different tasks.",83
It is therefore surprising that BERT <REF> achieves 77% test set accuracy with its best run   : Baselines and BERT results.,84
It is therefore surprising that BERT <REF> achieves 77% test set accuracy with its best run   : Baselines and BERT results.,85
These word embeddings are typically trained on large corpora using embedding approaches which capture information concerning words that commonly appear together <REF>.,86
"Most of such approaches, including those used in previous studies on dialog act recognition, generate embeddings for each word independently of its context <REF>.",87
